0	13707420252	7b-05-58-d0-ab-06	36.59.236.45	60	109	9684	2253
1	13502058916	15-9e-ac-c1-93-e9	171.14.109.219	8	37	8286	8888
0	13707420252	7b-05-58-d0-ab-06	36.59.236.45	39	45	8715	6857
3	13801048604	f9-00-34-ce-e2-ab	171.13.14.91	86	152	7334	4433
3	13801048604	f9-00-34-ce-e2-ab	171.13.14.91	6	111	8549	714
0	13707420252	7b-05-58-d0-ab-06	36.59.236.45	26	80	1220	4526
3	13801048604	f9-00-34-ce-e2-ab	171.13.14.91	84	194	1697	1408
1	13502058916	15-9e-ac-c1-93-e9	171.14.109.219	33	67	4081	3013
3	13801048604	f9-00-34-ce-e2-ab	171.13.14.91	9	184	7523	9442
0	13707420252	7b-05-58-d0-ab-06	36.59.236.45	74	59	7743	9434
10	13400087341	65-3d-f9-3c-41-96	139.209.80.53	89	101	4558	6790
10	13400087341	65-3d-f9-3c-41-96	139.209.80.53	65	197	4148	9111
12	13906836305	b6-8d-61-7a-e4-52	171.11.180.77	47	140	5009	1306
10	13400087341	65-3d-f9-3c-41-96	139.209.80.53	5	40	633	2623
14	13804850275	00-d7-87-f6-ad-cf	171.12.154.239	1	66	4636	4158
15	13904327556	50-db-a6-8b-36-25	210.41.234.158	50	128	3506	2987
16	13806835604	6b-ec-63-e9-55-df	121.76.190.23	1	83	387	6041
17	13803913607	85-2a-b7-e9-1e-c8	36.59.224.137	24	66	2600	4920
18	13504676489	64-73-7b-f0-99-46	210.43.50.31	53	110	8706	781
1	13502058916	15-9e-ac-c1-93-e9	171.14.109.219	72	9	9920	1721
14	13804850275	00-d7-87-f6-ad-cf	171.12.154.239	24	14	1769	7586
12	13906836305	b6-8d-61-7a-e4-52	171.11.180.77	57	64	1803	7228
22	13907718984	66-7f-c3-99-49-16	36.57.2.134	30	102	1002	6299
23	13404731938	6d-43-39-a1-c0-11	210.43.175.201	67	4	8509	2428
22	13907718984	66-7f-c3-99-49-16	36.57.2.134	23	70	9288	8446
25	13700285347	57-3d-96-e2-72-ee	171.8.188.180	6	176	6686	1393
14	13804850275	00-d7-87-f6-ad-cf	171.12.154.239	92	178	7572	5887
17	13803913607	85-2a-b7-e9-1e-c8	36.59.224.137	64	3	8044	9664
0	13707420252	7b-05-58-d0-ab-06	36.59.236.45	82	1	6529	5424
15	13904327556	50-db-a6-8b-36-25	210.41.234.158	40	110	5918	7254
10	13400087341	65-3d-f9-3c-41-96	139.209.80.53	90	98	2545	7654
25	13700285347	57-3d-96-e2-72-ee	171.8.188.180	74	40	3726	9639
16	13806835604	6b-ec-63-e9-55-df	121.76.190.23	3	2	1956	9394
33	13601307218	05-aa-32-ed-08-da	139.201.201.157	79	22	3052	9251
34	13603780904	65-d6-41-88-63-8a	123.234.228.245	58	130	8743	8235
1	13502058916	15-9e-ac-c1-93-e9	171.14.109.219	26	166	9617	3357
18	13504676489	64-73-7b-f0-99-46	210.43.50.31	6	164	7986	7565
37	13500492605	9f-58-57-fb-35-54	171.13.250.111	93	40	769	2328
23	13404731938	6d-43-39-a1-c0-11	210.43.175.201	0	193	7	940
33	13601307218	05-aa-32-ed-08-da	139.201.201.157	45	104	301	3616
23	13404731938	6d-43-39-a1-c0-11	210.43.175.201	78	141	29	3740
10	13400087341	65-3d-f9-3c-41-96	139.209.80.53	52	183	3404	2018
1	13502058916	15-9e-ac-c1-93-e9	171.14.109.219	45	51	723	1941
43	13603588832	9d-76-21-92-81-a2	182.89.48.136	33	100	4301	3168
44	13901534820	bf-d1-0c-ca-4e-1c	210.41.78.202	56	138	2154	8076
45	13502483594	31-05-82-64-8d-c5	139.199.47.49	40	119	6197	7239
46	13402382128	eb-39-ec-04-88-b6	182.86.218.159	86	116	6330	4092
47	13600148929	8c-d1-d4-a2-dd-37	123.232.2.68	57	91	7132	1662
47	13600148929	8c-d1-d4-a2-dd-37	123.232.2.68	93	55	7547	5976
49	13403194065	64-f7-3c-7d-c5-be	139.196.223.5	100	93	4541	9033
