13400087341	301	619	15288	28196
13402382128	86	116	6330	4092
13403194065	100	93	4541	9033
13404731938	145	338	8545	7108
13500492605	93	40	769	2328
13502058916	184	330	32627	18920
13502483594	40	119	6197	7239
13504676489	59	274	16692	8346
13600148929	150	146	14679	7638
13601307218	124	126	3353	12867
13603588832	33	100	4301	3168
13603780904	58	130	8743	8235
13700285347	80	216	10412	11032
13707420252	281	294	33891	28494
13801048604	185	641	25103	15997
13803913607	88	69	10644	14584
13804850275	117	258	13977	17631
13806835604	4	85	2343	15435
13901534820	56	138	2154	8076
13904327556	90	238	9424	10241
13906836305	104	204	6812	8534
13907718984	53	172	10290	14745
